DDCTransactionId8193F6DE46E4E2E7B34A0A9965EEACE1_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3D9DF5394695F7124FAF65908374C968_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-16.55.23, Duration=140.777878, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3D9DF5394695F7124FAF65908374C__F79118E6F30CD645ED13CCACDE18506EDDF2AAA7, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=131335, Duration=0.043672, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF38F1E1841761DD9F327269F17707E43_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3D9DF5394695F7124FAF65908374C__D9BCE034B54501B31E1268E47E4A9A15D33D5424, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=33031, Duration=0.032831, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3D9DF5394695F7124FAF65908374C__8D74DBB4A0FC52B1E60DDF306B3B6D5AD8928B38, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=8455, Duration=0.020482, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId0AF557964B06F8D142FFD1BF57E35D64_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3D9DF5394695F7124FAF65908374C__1048758D1A9E930E3BE15FAD74367A7AD7306A1B, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=4155, Duration=0.027105, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId8193F6DE46E4E2E7B34A0A9965EEACE1_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_660726A047C2927550383F8D31513001_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-16.55.23, Duration=23.850590, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId0AF557964B06F8D142FFD1BF57E35D64_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_660726A047C2927550383F8D31513001___E4261310C6827BE0699E0E38E182C3B841FFD2EB, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=262403, Duration=0.089150, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF38F1E1841761DD9F327269F17707E43_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_660726A047C2927550383F8D31513001___8840DF5883E6EC5500D3350FB12B05898FBAE0C5, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=65795, Duration=0.079509, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId0AF557964B06F8D142FFD1BF57E35D64_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_660726A047C2927550383F8D31513001___656A5593B9A79465290398ABD19F32BF841D32E1, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=16643, Duration=0.025298, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_660726A047C2927550383F8D31513001___CF70F1551B9B3BAA91EF94E1C1B6B6F013D72556, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=6882, Duration=0.021987, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId8193F6DE46E4E2E7B34A0A9965EEACE1_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C25F0AA4434FAD95C399DCB32877CF9E_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-16.55.23, Duration=115.407562, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId0AF557964B06F8D142FFD1BF57E35D64_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C25F0AA4434FAD95C399DCB32877C__F9C48EB226BBE8678412D2FA9F8F6414C0AF8240, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=131335, Duration=0.054512, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF38F1E1841761DD9F327269F17707E43_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C25F0AA4434FAD95C399DCB32877C__1EDF00FCB9562E717B43F900063C2EC891004D4F, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=33031, Duration=0.025902, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId0AF557964B06F8D142FFD1BF57E35D64_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C25F0AA4434FAD95C399DCB32877C__280A88EACD9BCBBE505626E96B2A7B43B3526266, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=8455, Duration=0.014458, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C25F0AA4434FAD95C399DCB32877C__3C5BFA81A17D8CFE09D86A05346BFF1F1568772B, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=4155, Duration=0.023190, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
